"Fofunkcio";"Funkcio";"Fejezet";"Cim";"Alcim";"Jogcim1";"Jogcim2";"Ecs";"Ke";"Nev";"Kiadas";"Bevetel";"Tamogatas";"Oszlop";"AHTT"
"F08";"F08f";"FJ01";9;9;0;0;0;0;"Megújuló Magyarországért Alapítvány";23,6;;;2;348017
"F08";"F08f";"FJ01";9;10;0;0;0;0;"Liberális Magyarországért Alapítvány";4,3;;;2;348584
"F08";"F08f";"FJ01";9;11;0;0;0;0;"Új Köztársaságért Alapítvány";40,2;;;2;349528
"F16";"F16";"FJ01";10;0;0;0;0;0;"Közszolgálati médiaszolgáltatás támogatása";;;;1;334451
"F08";"F08c";"FJ01";10;1;0;0;0;0;"Közszolgálati hozzájárulás";69861;;;2;303580
"F16";"F16";"FJ01";21;0;0;0;0;0;"Nemzeti Adatvédelmi és Információszabadság Hatóság";;;;1;332162
"F01";"F01a";"FJ01";21;1;0;0;0;0;"Nemzeti Adatvédelmi és Információszabadság Hatóság";;;507;2;303202
"F01";"F01a";"FJ01";21;1;0;0;1;0;"Működési költségvetés";;;;3;303202
"F01";"F01a";"FJ01";21;1;0;0;1;1;"Személyi juttatások";311,2;;;4;303202
"F01";"F01a";"FJ01";21;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";87,6;;;4;303202
"F01";"F01a";"FJ01";21;1;0;0;1;3;"Dologi kiadások";90,5;;;4;303202
"F01";"F01a";"FJ01";21;1;0;0;1;5;"Egyéb működési célú kiadások";2,7;;;4;303202
"F01";"F01a";"FJ01";21;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;303202
"F01";"F01a";"FJ01";21;1;0;0;2;6;"Beruházások";15;;;4;303202
"F16";"F16";"FJ01";21;2;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;2;332017
"F16";"F16";"FJ01";21;2;2;0;0;0;"Fejezeti tartalék";9,5;;9,5;3;341806
"F16";"F16";"FJ01";22;0;0;0;0;0;"Egyenlő Bánásmód Hatóság";;;;1;334184
"F06";"F06g";"FJ01";22;1;0;0;0;0;"Egyenlő Bánásmód Hatóság";;1;317,2;2;262290
"F06";"F06g";"FJ01";22;1;0;0;1;0;"Működési költségvetés";;;;3;262290
"F06";"F06g";"FJ01";22;1;0;0;1;1;"Személyi juttatások";143,3;;;4;262290
"F06";"F06g";"FJ01";22;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";38,5;;;4;262290
"F06";"F06g";"FJ01";22;1;0;0;1;3;"Dologi kiadások";120,5;;;4;262290
"F06";"F06g";"FJ01";22;1;0;0;1;5;"Egyéb működési célú kiadások";0,3;;;4;262290
"F06";"F06g";"FJ01";22;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;262290
"F06";"F06g";"FJ01";22;1;0;0;2;6;"Beruházások";15,6;;;4;262290
"F16";"F16";"FJ01";22;2;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;2;341773
"F16";"F16";"FJ01";22;2;1;0;0;0;"Fejezeti tartalék";4,2;;4,2;3;341784
"F16";"F16";"FJ01";23;0;0;0;0;0;"Magyar Energetikai és Közmű-szabályozási Hivatal";;;;1;341095
"F09";"F09";"FJ01";23;1;0;0;0;0;"Magyar Energetikai és Közmű-szabályozási Hivatal";;7100;;2;15020
"F09";"F09";"FJ01";23;1;0;0;1;0;"Működési költségvetés";;;;3;15020
"F09";"F09";"FJ01";23;1;0;0;1;1;"Személyi juttatások";3092;;;4;15020
"F09";"F09";"FJ01";23;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";877,4;;;4;15020
"F09";"F09";"FJ01";23;1;0;0;1;3;"Dologi kiadások";889,7;;;4;15020
"F09";"F09";"FJ01";23;1;0;0;1;5;"Egyéb működési célú kiadások";2039,4;;;4;15020
"F09";"F09";"FJ01";23;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;15020
"F09";"F09";"FJ01";23;1;0;0;2;6;"Beruházások";201,5;;;4;15020
"F16";"F16";"FJ01";24;0;0;0;0;0;"Nemzeti Választási Iroda";;;;1;341662
"F01";"F01a";"FJ01";24;1;0;0;0;0;"Nemzeti Választási Iroda";;;1262,4;2;341673
"F01";"F01a";"FJ01";24;1;0;0;1;0;"Működési költségvetés";;;;3;341673
"F01";"F01a";"FJ01";24;1;0;0;1;1;"Személyi juttatások";659,6;;;4;341673
"F01";"F01a";"FJ01";24;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";176,3;;;4;341673
"F01";"F01a";"FJ01";24;1;0;0;1;3;"Dologi kiadások";376,5;;;4;341673
"F01";"F01a";"FJ01";24;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;341673
"F01";"F01a";"FJ01";24;1;0;0;2;6;"Beruházások";50;;;4;341673
"F16";"F16";"FJ01";24;2;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;2;341684
"F08";"F08f";"FJ01";24;2;1;0;0;0;"Időközi és nemzetiségi választások lebonyolítása";458;;458;3;275090
"F01";"F01a";"FJ01";24;2;2;0;0;0;"A választási rendszerek működtetése";1500;;1500;3;341695
"F16";"F16";"FJ01";25;0;0;0;0;0;"Nemzeti Emlékezet Bizottságának Hivatala";;;;1;346517
"F01";"F01a";"FJ01";25;1;0;0;0;0;"Nemzeti Emlékezet Bizottságának Hivatala";;;608;2;346528
"F01";"F01a";"FJ01";25;1;0;0;1;0;"Működési költségvetés";;;;3;346528
"F01";"F01a";"FJ01";25;1;0;0;1;1;"Személyi juttatások";305,4;;;4;346528
"F01";"F01a";"FJ01";25;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";85,6;;;4;346528
"F01";"F01a";"FJ01";25;1;0;0;1;3;"Dologi kiadások";217;;;4;346528
"F16";"F16";"FJ02";0;0;0;0;0;0;"II. KÖZTÁRSASÁGI ELNÖKSÉG";;;;0;11
"F01";"F01a";"FJ02";1;0;0;0;0;0;"Köztársasági Elnöki Hivatal";;;1422,4;1;33
"F01";"F01a";"FJ02";1;0;0;0;1;0;"Működési költségvetés";;;;2;33
"F01";"F01a";"FJ02";1;0;0;0;1;1;"Személyi juttatások";748,6;;;3;33
"F01";"F01a";"FJ02";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";205,7;;;3;33
"F01";"F01a";"FJ02";1;0;0;0;1;3;"Dologi kiadások";411,5;;;3;33
"F01";"F01a";"FJ02";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;33
"F01";"F01a";"FJ02";1;0;0;0;2;6;"Beruházások";51,6;;;3;33
"F01";"F01a";"FJ02";1;0;0;0;2;7;"Felújítások";3;;;3;33
"F01";"F01a";"FJ02";1;0;0;0;2;8;"Egyéb felhalmozási célú kiadások";2;;;3;33
"F16";"F16";"FJ02";2;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;55
"F16";"F16";"FJ02";2;2;0;0;0;0;"Célelőirányzatok";;;;2;66
"F01";"F01a";"FJ02";2;2;1;0;0;0;"Állami kitüntetések";436,7;;436,7;3;17530
"F08";"F08f";"FJ02";2;2;2;0;0;0;"Köztársasági elnök közcélú felajánlásai, adományai";73;;73;3;338240
"F01";"F01c";"FJ02";2;2;3;0;0;0;"Államfői Protokoll kiadásai";;;;3;344028
"F01";"F01c";"FJ02";2;2;3;1;0;0;"Államfői Protokoll kiadásai";355;;355;4;249590
"F16";"F16";"FJ02";2;4;0;0;0;0;"Fejezeti tartalék";26,3;;26,3;2;335306
"F16";"F16";"FJ03";0;0;0;0;0;0;"III. ALKOTMÁNYBÍRÓSÁG";;;;0;374
"F01";"F01a";"FJ03";1;0;0;0;0;0;"Alkotmánybíróság";;;1761,6;1;385
"F01";"F01a";"FJ03";1;0;0;0;1;0;"Működési költségvetés";;;;2;385
"F01";"F01a";"FJ03";1;0;0;0;1;1;"Személyi juttatások";1079,3;;;3;385
"F01";"F01a";"FJ03";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";307,6;;;3;385
"F01";"F01a";"FJ03";1;0;0;0;1;3;"Dologi kiadások";289,6;;;3;385
"F01";"F01a";"FJ03";1;0;0;0;1;4;"Ellátottak pénzbeli juttatásai";37,1;;;3;385
"F01";"F01a";"FJ03";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;385
"F01";"F01a";"FJ03";1;0;0;0;2;6;"Beruházások";48;;;3;385
"F16";"F16";"FJ03";2;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;272789
"F16";"F16";"FJ03";2;2;0;0;0;0;"Fejezeti tartalék";35,5;;35,5;2;335317
"F16";"F16";"FJ04";0;0;0;0;0;0;"IV. ALAPVETŐ JOGOK BIZTOSÁNAK HIVATALA";;;;0;7207
"F01";"F01a";"FJ04";1;0;0;0;0;0;"Alapvető Jogok Biztosának Hivatala";;;1302,4;1;303191
"F01";"F01a";"FJ04";1;0;0;0;1;0;"Működési költségvetés";;;;2;303191
"F01";"F01a";"FJ04";1;0;0;0;1;1;"Személyi juttatások";825,6;;;3;303191
"F01";"F01a";"FJ04";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";225,9;;;3;303191
"F01";"F01a";"FJ04";1;0;0;0;1;3;"Dologi kiadások";208,4;;;3;303191
"F01";"F01a";"FJ04";1;0;0;0;1;5;"Egyéb működési célú kiadások";1,5;;;3;303191
"F01";"F01a";"FJ04";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;303191
"F01";"F01a";"FJ04";1;0;0;0;2;6;"Beruházások";41;;;3;303191
"F16";"F16";"FJ04";2;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;272790
"F16";"F16";"FJ04";2;2;0;0;0;0;"Fejezeti tartalék";22,8;;22,8;2;25584
"F16";"F16";"FJ05";0;0;0;0;0;0;"V. ÁLLAMI SZÁMVEVŐSZÉK";;;;0;451
"F01";"F01a";"FJ05";1;0;0;0;0;0;"Állami Számvevőszék";;20;8304,5;1;462
"F01";"F01a";"FJ05";1;0;0;0;1;0;"Működési költségvetés";;;;2;462
"F01";"F01a";"FJ05";1;0;0;0;1;1;"Személyi juttatások";5466,2;;;3;462
"F01";"F01a";"FJ05";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";1494,5;;;3;462
"F01";"F01a";"FJ05";1;0;0;0;1;3;"Dologi kiadások";1146,9;;;3;462
"F01";"F01a";"FJ05";1;0;0;0;1;5;"Egyéb működési célú kiadások";2;;;3;462
"F01";"F01a";"FJ05";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;462
"F01";"F01a";"FJ05";1;0;0;0;2;6;"Beruházások";178,9;;;3;462
"F01";"F01a";"FJ05";1;0;0;0;2;7;"Felújítások";36;;;3;462
"F16";"F16";"FJ06";0;0;0;0;0;0;"VI. BÍRÓSÁGOK";;;;0;31127
"F03";"F03a";"FJ06";1;0;0;0;0;0;"Bíróságok";;2066;74195,3;1;209126
"F03";"F03a";"FJ06";1;0;0;0;1;0;"Működési költségvetés";;;;2;209126
"F03";"F03a";"FJ06";1;0;0;0;1;1;"Személyi juttatások";48770;;;3;209126
"F03";"F03a";"FJ06";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";12323,3;;;3;209126
"F03";"F03a";"FJ06";1;0;0;0;1;3;"Dologi kiadások";14589;;;3;209126
"F03";"F03a";"FJ06";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;209126
"F03";"F03a";"FJ06";1;0;0;0;2;6;"Beruházások";313;;;3;209126
"F03";"F03a";"FJ06";1;0;0;0;2;7;"Felújítások";266;;;3;209126
"F03";"F03a";"FJ06";2;0;0;0;0;0;"Kúria";;192;2637,5;1;333639
"F03";"F03a";"FJ06";2;0;0;0;1;0;"Működési költségvetés";;;;2;333639
"F03";"F03a";"FJ06";2;0;0;0;1;1;"Személyi juttatások";2027,8;;;3;333639
"F03";"F03a";"FJ06";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";508;;;3;333639
"F03";"F03a";"FJ06";2;0;0;0;1;3;"Dologi kiadások";289,7;;;3;333639
"F03";"F03a";"FJ06";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;333639
"F03";"F03a";"FJ06";2;0;0;0;2;6;"Beruházások";4;;;3;333639
"F16";"F16";"FJ06";3;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;31138
"F16";"F16";"FJ06";3;1;0;0;0;0;"Beruházás";;;;2;226989
"F03";"F03a";"FJ06";3;1;1;0;0;0;"Budapest Környéki Törvényszék épület rekonstrukciója";1005,1;;1005,1;3;331228
"F03";"F03a";"FJ06";3;1;2;0;0;0;"Igazságszolgáltatás beruházásai";7083;;7083;3;227250
"F03";"F03a";"FJ06";3;3;0;0;0;0;"Igazságszolgáltatás működtetése";1561,9;;1561,9;2;347951
"F16";"F16";"FJ06";3;16;0;0;0;0;"Fejezeti tartalék";1070,2;;1070,2;2;284378
"F16";"F16";"FJ08";0;0;0;0;0;0;"VIII. ÜGYÉSZSÉG";;;;0;417
"F03";"F03a";"FJ08";1;0;0;0;0;0;"Ügyészségek";;102;38987,5;1;26338
"F03";"F03a";"FJ08";1;0;0;0;1;0;"Működési költségvetés";;;;2;26338
"F03";"F03a";"FJ08";1;0;0;0;1;1;"Személyi juttatások";25723,2;;;3;26338
"F03";"F03a";"FJ08";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";7074,5;;;3;26338
"F03";"F03a";"FJ08";1;0;0;0;1;3;"Dologi kiadások";3348,5;;;3;26338
"F03";"F03a";"FJ08";1;0;0;0;1;5;"Egyéb működési célú kiadások";6,8;;;3;26338
"F03";"F03a";"FJ08";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;26338
"F03";"F03a";"FJ08";1;0;0;0;2;6;"Beruházások";2836,5;;;3;26338
"F03";"F03a";"FJ08";1;0;0;0;2;7;"Felújítások";30;;;3;26338
"F03";"F03a";"FJ08";1;0;0;0;2;8;"Egyéb felhalmozási célú kiadások";70;;;3;26338
"F16";"F16";"FJ08";3;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;227007
"F03";"F03a";"FJ08";3;3;0;0;0;0;"EU-tagságból eredő feladatok";42;;42;2;247490
"F03";"F03a";"FJ08";3;4;0;0;0;0;"Jogerősen megállapított kártérítések célelőirányzata";30;;30;2;272190
"F16";"F16";"FJ08";3;6;0;0;0;0;"Fejezeti tartalék";720,4;;720,4;2;956
"F16";"F16";"FJ09";0;0;0;0;0;0;"IX. HELYI ÖNKORMÁNYZATOK TÁMOGATÁSAI";;;;0;257589
"F01";"F01a";"FJ09";1;0;0;0;0;0;"A helyi önkormányzatok általános működésének és ágazati feladatainak támogatása";;;;1;334373
"F16";"F16";"FJ09";1;1;0;0;0;0;"A helyi önkormányzatok működésének általános támogatása";150994,9;;;2;334384
"F04";"F04a";"FJ09";1;2;0;0;0;0;"A települési önkormányzatok egyes köznevelési feladatainak támogatása";165485,3;;;2;334395
"F06";"F06g";"FJ09";1;3;0;0;0;0;"A települési önkormányzatok szociális, gyermekjóléti és gyermekétkeztetési feladatainak támogatása";192094,4;;;2;334406
"F08";"F08b";"FJ09";1;4;0;0;0;0;"A települési önkormányzatok kulturális feladatainak támogatása";30765,3;;;2;334417
"F01";"F01a";"FJ09";2;0;0;0;0;0;"A helyi önkormányzatok kiegészítő támogatásai";109924,7;;;1;18450
"F16";"F16";"FJ10";0;0;0;0;0;0;"X. IGAZSÁGÜGYI MINISZTÉRIUM";;;;0;484
"F01";"F01a";"FJ10";1;0;0;0;0;0;"Igazságügyi Minisztérium igazgatása";;664,2;4586,7;1;505
"F01";"F01a";"FJ10";1;0;0;0;1;0;"Működési költségvetés";;;;2;505
"F01";"F01a";"FJ10";1;0;0;0;1;1;"Személyi juttatások";3106,6;;;3;505
"F01";"F01a";"FJ10";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";782,7;;;3;505
"F01";"F01a";"FJ10";1;0;0;0;1;3;"Dologi kiadások";1320,1;;;3;505
"F01";"F01a";"FJ10";1;0;0;0;1;4;"Ellátottak pénzbeli juttatásai";6;;;3;505
"F01";"F01a";"FJ10";1;0;0;0;1;5;"Egyéb működési célú kiadások";4;;;3;505
"F01";"F01a";"FJ10";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;505
"F01";"F01a";"FJ10";1;0;0;0;2;6;"Beruházások";31,5;;;3;505
"F13";"F13b";"FJ10";2;0;0;0;0;0;"Szellemi Tulajdon Nemzeti Hivatala";;4220;;1;989
"F13";"F13b";"FJ10";2;0;0;0;1;0;"Működési költségvetés";;;;2;989
"F13";"F13b";"FJ10";2;0;0;0;1;1;"Személyi juttatások";1369,5;;;3;989
"F13";"F13b";"FJ10";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";371,5;;;3;989
"F13";"F13b";"FJ10";2;0;0;0;1;3;"Dologi kiadások";1801,7;;;3;989
"F13";"F13b";"FJ10";2;0;0;0;1;5;"Egyéb működési célú kiadások";202,8;;;3;989
"F13";"F13b";"FJ10";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;989
"F13";"F13b";"FJ10";2;0;0;0;2;6;"Beruházások";455,5;;;3;989
"F13";"F13b";"FJ10";2;0;0;0;2;7;"Felújítások";19;;;3;989
"F16";"F16";"FJ10";3;0;0;0;0;0;"Igazságügyi Hivatal";;;921,1;1;348028
"F16";"F16";"FJ10";3;0;0;0;1;0;"Működési költségvetés";;;;2;348028
"F16";"F16";"FJ10";3;0;0;0;1;1;"Személyi juttatások";428,5;;;3;348028
"F16";"F16";"FJ10";3;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";117,1;;;3;348028
"F16";"F16";"FJ10";3;0;0;0;1;3;"Dologi kiadások";369,7;;;3;348028
"F16";"F16";"FJ10";3;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;348028
"F16";"F16";"FJ10";3;0;0;0;2;6;"Beruházások";5,8;;;3;348028
"F01";"F01d";"FJ10";9;0;0;0;0;0;"Igazságügyi Szakértői és Kutató Intézetek";;1484,3;1223;1;4855
"F01";"F01d";"FJ10";9;0;0;0;1;0;"Működési költségvetés";;;;2;4855
"F01";"F01d";"FJ10";9;0;0;0;1;1;"Személyi juttatások";1244,2;;;3;4855
"F01";"F01d";"FJ10";9;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";338,4;;;3;4855
"F01";"F01d";"FJ10";9;0;0;0;1;3;"Dologi kiadások";939,7;;;3;4855
"F01";"F01d";"FJ10";9;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;4855
"F01";"F01d";"FJ10";9;0;0;0;2;6;"Beruházások";185;;;3;4855
"F16";"F16";"FJ10";20;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;1030
"F16";"F16";"FJ10";20;2;0;0;0;0;"Célelőirányzatok";;;;2;1052
"F01";"F01a";"FJ10";20;2;1;0;0;0;"IM felügyelete alá tartozó szervezetek és szakmai programok támogatása";653,1;;653,1;3;232292
"F16";"F16";"FJ10";20;2;3;0;0;0;"IM társadalom- és szakpolitikai célkitűzéseinek megvalósítása";300;;300;3;349595
"F03";"F03a";"FJ10";20;2;4;0;0;0;"Igazságszolgáltatási szervek részvétele a jogszabályelőkészítésben";163,5;;163,5;3;349151
"F01";"F01c";"FJ10";20;2;10;0;0;0;"Igazságügyi regionális együttműködés 2015";30;;30;3;296768
"F03";"F03a";"FJ10";20;2;17;0;0;0;"A büntetőeljárásról szóló törvény alapján megállapított kártalanítás";120;;120;3;228213
"F03";"F03a";"FJ10";20;2;18;0;0;0;"Jogi segítségnyújtás";249;;249;3;249556
"F01";"F01c";"FJ10";20;2;19;0;0;0;"Magyar alkotmányos identitás kifejezésre juttatása, nemzettudat, jogvédelem és jogérvényesítés";50;;50;3;331940
"F03";"F03a";"FJ10";20;2;20;0;0;0;"Bűncselekmények áldozatainak kárenyhítése";100;;100;3;267045
"F01";"F01c";"FJ10";20;2;27;0;0;0;"Nemzetközi kötelezettségek teljesítése";27,7;;27,7;3;264478
"F01";"F01a";"FJ10";20;25;0;0;0;0;"Fejezeti általános tartalék";108;;108;2;10025
"F16";"F16";"FJ11";0;0;0;0;0;0;"XI. MINISZTERELNÖKSÉG";;;;0;294089
"F01";"F01a";"FJ11";1;0;0;0;0;0;"Miniszterelnökség";;6256,3;21926,6;1;294502
"F01";"F01a";"FJ11";1;0;0;0;1;0;"Működési költségvetés";;;;2;294502
"F01";"F01a";"FJ11";1;0;0;0;1;1;"Személyi juttatások";10292,6;;;3;294502
"F01";"F01a";"FJ11";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";2893,3;;;3;294502
"F01";"F01a";"FJ11";1;0;0;0;1;3;"Dologi kiadások";8607,7;;;3;294502
"F01";"F01a";"FJ11";1;0;0;0;1;5;"Egyéb működési célú kiadások";72,3;;;3;294502
"F01";"F01a";"FJ11";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;294502
"F01";"F01a";"FJ11";1;0;0;0;2;6;"Beruházások";6061,8;;;3;294502
