Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Mûködési kiadás;Mûködési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F01;F01.a;01;02;00;00;00;02;06 ;         Beruházások;;;55,0;;55,0;0,0
F01;F01.a;01;02;00;00;00;02;07 ;         Felújítások;;;14,3;;14,3;0,0
F03;F03.b;01;03;00;00;00;00;00 ;   Országgyûlési Õrség;;;;;0,0;0,0
F03;F03.b;01;03;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F03;F03.b;01;03;00;00;00;01;01 ;         Személyi juttatások;2 609,5;;;;2 609,5;0,0
F03;F03.b;01;03;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;681,3;;;;681,3;0,0
F03;F03.b;01;04;00;00;00;00;00 ;   Fejezeti kezelésû elõirányzatok;;;;;0,0;0,0
F08;F08.f;01;04;03;00;00;00;00 ;      Az Országgyûlés elnökének közcélú felajánlásai, adományai;73,0;;;;73,0;0,0
F08;F08.f;01;04;04;00;00;00;00 ;      A Kárpát-medencei Magyar Képviselõk Fóruma;;;;;0,0;0,0
F08;F08.f;01;04;04;02;00;00;00 ;         Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása;80,0;;;;80,0;0,0
F08;F08.f;01;04;08;00;00;00;00 ;      Volt köztársasági elnökök közcélú felajánlásai, adományai;;;;;0,0;0,0
F08;F08.f;01;04;08;01;00;00;00 ;         Schmitt Pál közcélú felajánlásai, adományai;73,0;;;;73,0;0,0
F08;F08.f;01;04;08;02;00;00;00 ;         Sólyom László közcélú felajánlásai, adományai;73,0;;;;73,0;0,0
F08;F08.f;01;05;00;00;00;00;00 ;   Közbeszerzési Hatóság;;;;;0,0;0,0
F01;F01.a;01;05;01;00;00;00;00 ;      Közbeszerzési Hatóság;;1 660,9;;;0,0;1 660,9
F01;F01.a;01;05;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;01;05;01;00;00;01;01 ;            Személyi juttatások;788,7;;;;788,7;0,0
F01;F01.a;01;05;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;193,6;;;;193,6;0,0
F01;F01.a;01;05;01;00;00;01;03 ;            Dologi kiadások;696,0;;;;696,0;0,0
F01;F01.a;01;05;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;01;05;01;00;00;02;06 ;            Beruházások;;;122,6;;122,6;0,0
F01;F01.a;01;08;00;00;00;00;00 ;   Pártok támogatása;;;;;0,0;0,0
F01;F01.a;01;08;01;00;00;00;00 ;      Országos listán mandátumot szerzett pártok támogatása;;;;;0,0;0,0
F08;F08.e;01;08;01;01;00;00;00 ;         FIDESZ - Magyar Polgári Szövetség;876,6;;;;876,6;0,0
F08;F08.e;01;08;01;02;00;00;00 ;         Magyar Szocialista Párt;427,0;;;;427,0;0,0
F08;F08.e;01;08;01;03;00;00;00 ;         Jobbik Magyarországért Mozgalom - Párt;475,8;;;;475,8;0,0
F08;F08.e;01;08;01;04;00;00;00 ;         Lehet Más a Politika;173,7;;;;173,7;0,0
F08;F08.e;01;08;01;05;00;00;00 ;         Kereszténydemokrata Néppárt;152,7;;;;152,7;0,0
F08;F08.e;01;08;01;06;00;00;00 ;         Együtt - A Korszakváltók Pártja;133,6;;;;133,6;0,0
F08;F08.e;01;08;01;07;00;00;00 ;         Demokratikus Koalíció;132,0;;;;132,0;0,0
F08;F08.e;01;08;01;08;00;00;00 ;         Párbeszéd Magyarországért Párt;106,7;;;;106,7;0,0
F08;F08.e;01;08;01;09;00;00;00 ;         Magyar Liberális Párt;70,8;;;;70,8;0,0
F08;F08.e;01;09;00;00;00;00;00 ;   Pártalapítványok támogatása;;;;;0,0;0,0
F08;F08.f;01;09;01;00;00;00;00 ;      Szövetség a Polgári Magyarországért Alapítvány;529,7;;;;529,7;0,0
F08;F08.f;01;09;02;00;00;00;00 ;      Táncsics Mihály Alapítvány;234,2;;;;234,2;0,0
F08;F08.f;01;09;03;00;00;00;00 ;      Gyarapodó Magyarországért Alapítvány;266,2;;;;266,2;0,0
F08;F08.f;01;09;04;00;00;00;00 ;      Ökopolisz Alapítvány;67,6;;;;67,6;0,0
F08;F08.f;01;09;05;00;00;00;00 ;      Barankovics István Alapítvány;53,8;;;;53,8;0,0
F08;F08.f;01;09;08;00;00;00;00 ;      Együtt Magyarországért Alapítvány;41,3;;;;41,3;0,0
F08;F08.f;01;09;09;00;00;00;00 ;      Megújuló Magyarországért Alapítvány;23,6;;;;23,6;0,0
F08;F08.f;01;09;10;00;00;00;00 ;      Liberális Magyarországért Alapítvány;4,3;;;;4,3;0,0
F08;F08.f;01;09;11;00;00;00;00 ;      Új Köztársaságért Alapítvány;40,2;;;;40,2;0,0
F08;F08.f;01;10;00;00;00;00;00 ;   Közszolgálati médiaszolgáltatás támogatása;;;;;0,0;0,0
F08;F08.c;01;10;01;00;00;00;00 ;      Közszolgálati hozzájárulás;70 140,4;;;;70 140,4;0,0
F08;F08.c;01;21;00;00;00;00;00 ;   Nemzeti Adatvédelmi és Információszabadság Hatóság;;;;;0,0;0,0
F01;F01.a;01;21;01;00;00;00;00 ;      Nemzeti Adatvédelmi és Információszabadság Hatóság;;;;;0,0;0,0
F01;F01.a;01;21;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;01;21;01;00;00;01;01 ;            Személyi juttatások;411,8;;;;411,8;0,0
F01;F01.a;01;21;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;103,0;;;;103,0;0,0
F01;F01.a;01;21;01;00;00;01;03 ;            Dologi kiadások;105,9;;;;105,9;0,0
F01;F01.a;01;21;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;01;21;01;00;00;02;06 ;            Beruházások;;;19,1;;19,1;0,0
F01;F01.a;01;21;01;00;00;02;07 ;            Felújítások;;;2,5;;2,5;0,0
F01;F01.a;01;22;00;00;00;00;00 ;   Egyenlõ Bánásmód Hatóság;;;;;0,0;0,0
F06;F06.g;01;22;01;00;00;00;00 ;      Egyenlõ Bánásmód Hatóság;;1,0;;;0,0;1,0
F06;F06.g;01;22;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F06;F06.g;01;22;01;00;00;01;01 ;            Személyi juttatások;158,4;;;;158,4;0,0
F06;F06.g;01;22;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;42,5;;;;42,5;0,0
F06;F06.g;01;22;01;00;00;01;03 ;            Dologi kiadások;149,8;;;;149,8;0,0
F06;F06.g;01;22;01;00;00;01;05 ;            Egyéb mûködési célú kiadások;0,3;;;;0,3;0,0
F06;F06.g;01;22;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F06;F06.g;01;22;01;00;00;02;06 ;            Beruházások;;;33,4;;33,4;0,0
F06;F06.g;01;23;00;00;00;00;00 ;   Magyar Energetikai és Közmû-szabályozási Hivatal;;;;;0,0;0,0
F09;F09;01;23;01;00;00;00;00 ;      Magyar Energetikai és Közmû-szabályozási Hivatal;;7 500,0;;;0,0;7 500,0
F09;F09;01;23;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F09;F09;01;23;01;00;00;01;01 ;            Személyi juttatások;3 464,2;;;;3 464,2;0,0
F09;F09;01;23;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;998,6;;;;998,6;0,0
F09;F09;01;23;01;00;00;01;03 ;            Dologi kiadások;811,7;;;;811,7;0,0
F09;F09;01;23;01;00;00;01;05 ;            Egyéb mûködési célú kiadások;2 039,1;;;;2 039,1;0,0
F09;F09;01;23;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F09;F09;01;23;01;00;00;02;06 ;            Beruházások;;;166,4;;166,4;0,0
F09;F09;01;23;01;00;00;02;08 ;            Egyéb felhalmozási célú kiadások;;;20,0;;20,0;0,0
F09;F09;01;24;00;00;00;00;00 ;   Nemzeti Választási Iroda;;;;;0,0;0,0
F01;F01.a;01;24;01;00;00;00;00 ;      Nemzeti Választási Iroda;;;;;0,0;0,0
F01;F01.a;01;24;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;01;24;01;00;00;01;01 ;            Személyi juttatások;659,6;;;;659,6;0,0
F01;F01.a;01;24;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;176,3;;;;176,3;0,0
F01;F01.a;01;24;01;00;00;01;03 ;            Dologi kiadások;376,5;;;;376,5;0,0
F01;F01.a;01;24;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;01;24;01;00;00;02;06 ;            Beruházások;;;50,0;;50,0;0,0
F01;F01.a;01;24;02;00;00;00;00 ;      Fejezeti kezelésû elõirányzatok;;;;;0,0;0,0
F08;F08.f;01;24;02;01;00;00;00 ;         Idõközi és nemzetiségi választások lebonyolítása;458,0;;;;458,0;0,0
F01;F01.a;01;24;02;02;00;00;00 ;         A választási rendszerek mûködtetése;1 200,0;;300,0;;1 500,0;0,0
F01;F01.a;01;24;02;03;00;00;00 ;         2018. évi országgyûlési képviselõválasztás elõkészítése;500,0;;;;500,0;0,0
F01;F01.a;01;25;00;00;00;00;00 ;   Nemzeti Emlékezet Bizottságának Hivatala;;;;;0,0;0,0
F01;F01.a;01;25;01;00;00;00;00 ;      Nemzeti Emlékezet Bizottságának Hivatala;;;;;0,0;0,0
F01;F01.a;01;25;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;01;25;01;00;00;01;01 ;            Személyi juttatások;438,4;;;;438,4;0,0
F01;F01.a;01;25;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;117,6;;;;117,6;0,0
F01;F01.a;01;25;01;00;00;01;03 ;            Dologi kiadások;231,0;;;;231,0;0,0
F01;F01.a;01;25;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;01;25;01;00;00;02;06 ;            Beruházások;;;21,0;;21,0;0,0
F01;F01.a;02;00;00;00;00;00;00 ;II. KÖZTÁRSASÁGI ELNÖKSÉG;;;;;0,0;0,0
F01;F01.a;02;01;00;00;00;00;00 ;   Köztársasági Elnöki Hivatal;;;;;0,0;0,0
F01;F01.a;02;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;02;01;00;00;00;01;01 ;         Személyi juttatások;748,6;;;;748,6;0,0
F01;F01.a;02;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;205,7;;;;205,7;0,0
F01;F01.a;02;01;00;00;00;01;03 ;         Dologi kiadások;411,5;;;;411,5;0,0
F01;F01.a;02;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;02;01;00;00;00;02;06 ;         Beruházások;;;51,6;;51,6;0,0
F01;F01.a;02;01;00;00;00;02;07 ;         Felújítások;;;3,0;;3,0;0,0
F01;F01.a;02;01;00;00;00;02;08 ;         Egyéb felhalmozási célú kiadások;;;2,0;;2,0;0,0
F01;F01.a;02;02;00;00;00;00;00 ;   Fejezeti kezelésû elõirányzatok;;;;;0,0;0,0
F01;F01.a;02;02;02;00;00;00;00 ;      Célelõirányzatok;;;;;0,0;0,0
F01;F01.a;02;02;02;01;00;00;00 ;         Állami kitüntetések;436,7;;;;436,7;0,0
F08;F08.f;02;02;02;02;00;00;00 ;         Köztársasági elnök közcélú felajánlásai, adományai;73,0;;;;73,0;0,0
F08;F08.f;02;02;02;03;00;00;00 ;         Államfõi Protokoll kiadásai;;;;;0,0;0,0
F01;F01.c;02;02;02;03;01;00;00 ;            Államfõi Protokoll kiadásai;355,0;;;;355,0;0,0
F01;F01.a;02;02;04;00;00;00;00 ;      Fejezeti tartalék;26,3;;;;26,3;0,0
F01;F01.a;03;00;00;00;00;00;00 ;III. ALKOTMÁNYBÍRÓSÁG;;;;;0,0;0,0
F01;F01.a;03;01;00;00;00;00;00 ;   Alkotmánybíróság;;;;;0,0;0,0
F01;F01.a;03;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;03;01;00;00;00;01;01 ;         Személyi juttatások;1 079,3;;;;1 079,3;0,0
F01;F01.a;03;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;307,6;;;;307,6;0,0
F01;F01.a;03;01;00;00;00;01;03 ;         Dologi kiadások;304,2;;;;304,2;0,0
F01;F01.a;03;01;00;00;00;01;04 ;         Ellátottak pénzbeli juttatásai;43,3;;;;43,3;0,0
F01;F01.a;03;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;03;01;00;00;00;02;06 ;         Beruházások;;;62,7;;62,7;0,0
F01;F01.a;04;00;00;00;00;00;00 ;IV. ALAPVETÕ JOGOK BIZTOSÁNAK HIVATALA;;;;;0,0;0,0
F01;F01.a;04;01;00;00;00;00;00 ;   Alapvetõ Jogok Biztosának Hivatala;;;;;0,0;0,0
F01;F01.a;04;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;04;01;00;00;00;01;01 ;         Személyi juttatások;858,6;;;;858,6;0,0
F01;F01.a;04;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;236,2;;;;236,2;0,0
F01;F01.a;04;01;00;00;00;01;03 ;         Dologi kiadások;243,6;;;;243,6;0,0
F01;F01.a;04;01;00;00;00;01;05 ;         Egyéb mûködési célú kiadások;4,0;;;;4,0;0,0
F01;F01.a;04;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;04;01;00;00;00;02;06 ;         Beruházások;;;45,3;;45,3;0,0
F01;F01.a;05;00;00;00;00;00;00 ;V. ÁLLAMI SZÁMVEVÕSZÉK;;;;;0,0;0,0
F01;F01.a;05;01;00;00;00;00;00 ;   Állami Számvevõszék;;17,0;;3,0;0,0;20,0
F01;F01.a;05;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;05;01;00;00;00;01;01 ;         Személyi juttatások;6 099,2;;;;6 099,2;0,0
F01;F01.a;05;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;1 678,5;;;;1 678,5;0,0
F01;F01.a;05;01;00;00;00;01;03 ;         Dologi kiadások;1 104,8;;;;1 104,8;0,0
F01;F01.a;05;01;00;00;00;01;05 ;         Egyéb mûködési célú kiadások;2,0;;;;2,0;0,0
F01;F01.a;05;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;05;01;00;00;00;02;06 ;         Beruházások;;;382,1;;382,1;0,0
F01;F01.a;05;01;00;00;00;02;07 ;         Felújítások;;;36,0;;36,0;0,0
F01;F01.a;06;00;00;00;00;00;00 ;VI. BÍRÓSÁGOK;;;;;0,0;0,0
F03;F03.a;06;01;00;00;00;00;00 ;   Bíróságok;;2 004,0;;62,0;0,0;2 066,0
F03;F03.a;06;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F03;F03.a;06;01;00;00;00;01;01 ;         Személyi juttatások;68 063,6;;;;68 063,6;0,0
F03;F03.a;06;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;17 536,3;;;;17 536,3;0,0
F03;F03.a;06;01;00;00;00;01;03 ;         Dologi kiadások;16 293,7;;;;16 293,7;0,0
F03;F03.a;06;01;00;00;00;01;04 ;         Ellátottak pénzbeli juttatásai;15,0;;;;15,0;0,0
F03;F03.a;06;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F03;F03.a;06;01;00;00;00;02;06 ;         Beruházások;;;3 730,5;;3 730,5;0,0
F03;F03.a;06;01;00;00;00;02;07 ;         Felújítások;;;266,0;;266,0;0,0
F03;F03.a;06;02;00;00;00;00;00 ;   Kúria;;192,0;;;0,0;192,0
F03;F03.a;06;02;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F03;F03.a;06;02;00;00;00;01;01 ;         Személyi juttatások;2 825,1;;;;2 825,1;0,0
F03;F03.a;06;02;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;729,0;;;;729,0;0,0
F03;F03.a;06;02;00;00;00;01;03 ;         Dologi kiadások;289,7;;;;289,7;0,0
F03;F03.a;06;02;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F03;F03.a;06;02;00;00;00;02;06 ;         Beruházások;;;4,0;;4,0;0,0
F03;F03.a;06;03;00;00;00;00;00 ;   Fejezeti kezelésû elõirányzatok;;;;;0,0;0,0
F03;F03.a;06;03;01;00;00;00;00 ;      Beruházás;;;;;0,0;0,0
F03;F03.a;06;03;01;02;00;00;00 ;         Igazságszolgáltatás beruházásai;;;7 083,0;;7 083,0;0,0
F03;F03.a;06;03;03;00;00;00;00 ;      Igazságszolgáltatás mûködtetése;1 561,9;;;;1 561,9;0,0
F03;F03.a;08;00;00;00;00;00;00 ;VIII. ÜGYÉSZSÉG;;;;;0,0;0,0
F03;F03.a;08;01;00;00;00;00;00 ;   Ügyészségek;;37,0;;65,0;0,0;102,0
F03;F03.a;08;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F03;F03.a;08;01;00;00;00;01;01 ;         Személyi juttatások;26 539,2;;;;26 539,2;0,0
F03;F03.a;08;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;7 294,8;;;;7 294,8;0,0
F03;F03.a;08;01;00;00;00;01;03 ;         Dologi kiadások;3 340,6;;;;3 340,6;0,0
F03;F03.a;08;01;00;00;00;01;05 ;         Egyéb mûködési célú kiadások;6,8;;;;6,8;0,0
F03;F03.a;08;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F03;F03.a;08;01;00;00;00;02;06 ;         Beruházások;;;2 636,5;;2 636,5;0,0
F03;F03.a;08;01;00;00;00;02;07 ;         Felújítások;;;30,0;;30,0;0,0
F03;F03.a;08;01;00;00;00;02;08 ;         Egyéb felhalmozási célú kiadások;;;70,0;;70,0;0,0
F03;F03.a;08;03;00;00;00;00;00 ;   Fejezeti kezelésû elõirányzatok;;;;;0,0;0,0
F03;F03.a;08;03;04;00;00;00;00 ;      Jogerõsen megállapított kártérítések célelõirányzata;30,0;;;;30,0;0,0
F01;F01.a;08;03;06;00;00;00;00 ;      Fejezeti tartalék;196,1;;;;196,1;0,0
F01;F01.a;09;00;00;00;00;00;00 ;IX. HELYI ÖNKORMÁNYZATOK TÁMOGATÁSAI;;;;;0,0;0,0
F01;F01.a;09;01;00;00;00;00;00 ;   A helyi önkormányzatok általános mûködésének és ágazati feladatainak támogatása;;;;;0,0;0,0
F16;F16;09;01;01;00;00;00;00 ;      A helyi önkormányzatok mûködésének általános támogatása;155 794,9;;;;155 794,9;0,0
F04;F04.a;09;01;02;00;00;00;00 ;      A települési önkormányzatok egyes köznevelési feladatainak támogatása;186 879,2;;;;186 879,2;0,0
F06;F06.g;09;01;03;00;00;00;00 ;      A települési önkormányzatok egyes szociális, gyermekjóléti és gyermekétkeztetési feladatainak támogatása;198 548,0;;;;198 548,0;0,0
F08;F08.b;09;01;04;00;00;00;00 ;      A települési önkormányzatok kulturális feladatainak támogatása;31 205,6;;;;31 205,6;0,0
F01;F01.a;09;02;00;00;00;00;00 ;   A helyi önkormányzatok mûködési célú kiegészítõ támogatásai;62 710,5;;;;62 710,5;0,0
F01;F01.a;09;03;00;00;00;00;00 ;   A helyi önkormányzatok felhalmozási célú kiegészítõ támogatásai;;;33 246,0;;33 246,0;0,0
F01;F01.a;10;00;00;00;00;00;00 ;X. IGAZSÁGÜGYI MINISZTÉRIUM;;;;;0,0;0,0
F01;F01.a;10;01;00;00;00;00;00 ;   Igazságügyi Minisztérium igazgatása;;78,8;;;0,0;78,8
F01;F01.a;10;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;10;01;00;00;00;01;01 ;         Személyi juttatások;3 136,0;;;;3 136,0;0,0
F01;F01.a;10;01;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;791,1;;;;791,1;0,0
F01;F01.a;10;01;00;00;00;01;03 ;         Dologi kiadások;1 200,9;;;;1 200,9;0,0
F01;F01.a;10;01;00;00;00;01;04 ;         Ellátottak pénzbeli juttatásai;6,0;;;;6,0;0,0
F01;F01.a;10;01;00;00;00;01;05 ;         Egyéb mûködési célú kiadások;4,0;;;;4,0;0,0
F01;F01.a;10;01;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;10;01;00;00;00;02;06 ;         Beruházások;;;31,5;;31,5;0,0
F13;F13.b;10;02;00;00;00;00;00 ;   Szellemi Tulajdon Nemzeti Hivatala;;3 387,2;;;0,0;3 387,2
F13;F13.b;10;02;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F13;F13.b;10;02;00;00;00;01;01 ;         Személyi juttatások;1 358,1;;;;1 358,1;0,0
F13;F13.b;10;02;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;393,8;;;;393,8;0,0
F13;F13.b;10;02;00;00;00;01;03 ;         Dologi kiadások;1 451,3;;;;1 451,3;0,0
F13;F13.b;10;02;00;00;00;01;05 ;         Egyéb mûködési célú kiadások;104,4;;;;104,4;0,0
F13;F13.b;10;02;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F13;F13.b;10;02;00;00;00;02;06 ;         Beruházások;;;79,6;;79,6;0,0
F03;F03.a;10;03;00;00;00;00;00 ;   Igazságügyi Hivatal;;620,4;;;0,0;620,4
F03;F03.a;10;03;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F03;F03.a;10;03;00;00;00;01;01 ;         Személyi juttatások;852,8;;;;852,8;0,0
F03;F03.a;10;03;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;235,4;;;;235,4;0,0
F03;F03.a;10;03;00;00;00;01;03 ;         Dologi kiadások;611,9;;;;611,9;0,0
F03;F03.a;10;03;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F03;F03.a;10;03;00;00;00;02;06 ;         Beruházások;;;22,4;;22,4;0,0
F01;F01.d;10;09;00;00;00;00;00 ;   Igazságügyi Szakértõi és Kutató Intézetek;;1 664,3;;;0,0;1 664,3
F01;F01.d;10;09;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.d;10;09;00;00;00;01;01 ;         Személyi juttatások;1 429,2;;;;1 429,2;0,0
F01;F01.d;10;09;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;385,9;;;;385,9;0,0
F01;F01.d;10;09;00;00;00;01;03 ;         Dologi kiadások;947,9;;;;947,9;0,0
F01;F01.d;10;09;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.d;10;09;00;00;00;02;06 ;         Beruházások;;;124,3;;124,3;0,0
F01;F01.d;10;20;00;00;00;00;00 ;   Fejezeti kezelésû elõirányzatok;;;;;0,0;0,0
F01;F01.d;10;20;02;00;00;00;00 ;      Célelõirányzatok;;;;;0,0;0,0
F01;F01.a;10;20;02;01;00;00;00 ;         IM felügyelete alá tartozó szervezetek és szakmai programok támogatása;460,3;;;;460,3;0,0
F03;F03.a;10;20;02;02;00;00;00 ;         A jogászképzés színvonalának emelését célzó programok támogatása;500,0;;;;500,0;0,0
F03;F03.a;10;20;02;04;00;00;00 ;         Igazságszolgáltatási szervek részvétele a jogszabályelõkészítésben;163,5;;;;163,5;0,0
F01;F01.c;10;20;02;10;00;00;00 ;         Igazságügyi regionális együttmûködés;25,0;;;;25,0;0,0
F03;F03.a;10;20;02;17;00;00;00 ;         A büntetõeljárásról szóló törvény alapján megállapított kártalanítás;120,0;;;;120,0;0,0
F03;F03.a;10;20;02;18;00;00;00 ;         Jogi segítségnyújtás;249,0;;;;249,0;0,0
F01;F01.c;10;20;02;19;00;00;00 ;         Magyar alkotmányos identitás kifejezésre juttatása, nemzettudat, jogvédelem és jogérvényesítés;40,0;;;;40,0;0,0
F03;F03.a;10;20;02;20;00;00;00 ;         Bûncselekmények áldozatainak kárenyhítése;100,0;;;;100,0;0,0
F01;F01.c;10;20;02;27;00;00;00 ;         Nemzetközi kötelezettségek teljesítése;80,5;;;;80,5;0,0
F03;F03.a;10;20;02;28;00;00;00 ;         Magán- és egyéb jogi személyek kártérítése;300,0;;;;300,0;0,0
F01;F01.a;10;20;25;00;00;00;00 ;      Fejezeti általános tartalék;108,0;;;;108,0;0,0
F01;F01.a;10;20;26;00;00;00;00 ;      Fejezeti stabilitási tartalék;89,8;;;;89,8;0,0
F01;F01.a;11;00;00;00;00;00;00 ;XI. MINISZTERELNÖKSÉG;;;;;0,0;0,0
F01;F01.a;11;01;00;00;00;00;00 ;   Miniszterelnökség;;4 168,0;;232,9;0,0;4 400,9
F01;F01.a;11;01;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
