"Fo";"Fofunkcio";"Funkcio";"Fejezet";"Cim";"Alcim";"Jogcim1";"Jogcim2";"Ecs";"Ke";"Nev";"Kiadas";"Bevetel";"Tamogatas";"AHTT";"Oszlop"
FALSE;"F08";"F08f";"FJ01";9;1;0;0;0;0;"Szövetség a Polgári Magyarországért Alapítvány";529,7;;;253967;2
FALSE;"F08";"F08f";"FJ01";9;2;0;0;0;0;"Táncsics Mihály Alapítvány";234,2;;;253956;2
FALSE;"F08";"F08f";"FJ01";9;3;0;0;0;0;"Gyarapodó Magyarországért Alapítvány";266,2;;;301091;2
FALSE;"F08";"F08f";"FJ01";9;4;0;0;0;0;"Ökopolisz Alapítvány";67,6;;;294235;2
FALSE;"F08";"F08f";"FJ01";9;5;0;0;0;0;"Barankovics István Alapítvány";53,8;;;271745;2
FALSE;"F08";"F08f";"FJ01";9;8;0;0;0;0;"Együtt Magyarországért Alapítvány";41,3;;;347851;2
FALSE;"F08";"F08f";"FJ01";9;9;0;0;0;0;"Megújuló Magyarországért Alapítvány";23,6;;;348017;2
FALSE;"F08";"F08f";"FJ01";9;10;0;0;0;0;"Liberális Magyarországért Alapítvány";4,3;;;348584;2
FALSE;"F08";"F08f";"FJ01";9;11;0;0;0;0;"Új Köztársaságért Alapítvány";40,2;;;349528;2
FALSE;"F16";"F16";"FJ01";10;0;0;0;0;0;"Közszolgálati médiaszolgáltatás támogatása";;;;334451;1
FALSE;"F08";"F08c";"FJ01";10;1;0;0;0;0;"Közszolgálati hozzájárulás";69861;;;303580;2
FALSE;"F16";"F16";"FJ01";21;0;0;0;0;0;"Nemzeti Adatvédelmi és Információszabadság Hatóság";;;;332162;1
FALSE;"F01";"F01a";"FJ01";21;1;0;0;0;0;"Nemzeti Adatvédelmi és Információszabadság Hatóság";;;573,5;303202;2
FALSE;"F01";"F01a";"FJ01";21;1;0;0;1;0;"Működési költségvetés";;;;303202;3
FALSE;"F01";"F01a";"FJ01";21;1;0;0;1;1;"Személyi juttatások";359,8;;;303202;4
FALSE;"F01";"F01a";"FJ01";21;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";97,1;;;303202;4
FALSE;"F01";"F01a";"FJ01";21;1;0;0;1;3;"Dologi kiadások";101,6;;;303202;4
FALSE;"F01";"F01a";"FJ01";21;1;0;0;2;0;"Felhalmozási költségvetés";;;;303202;3
FALSE;"F01";"F01a";"FJ01";21;1;0;0;2;6;"Beruházások";11,5;;;303202;4
FALSE;"F01";"F01a";"FJ01";21;1;0;0;2;7;"Felújítások";3,5;;;303202;4
FALSE;"F16";"F16";"FJ01";22;0;0;0;0;0;"Egyenlő Bánásmód Hatóság";;;;334184;1
FALSE;"F06";"F06g";"FJ01";22;1;0;0;0;0;"Egyenlő Bánásmód Hatóság";;1;333,2;262290;2
FALSE;"F06";"F06g";"FJ01";22;1;0;0;1;0;"Működési költségvetés";;;;262290;3
FALSE;"F06";"F06g";"FJ01";22;1;0;0;1;1;"Személyi juttatások";148;;;262290;4
FALSE;"F06";"F06g";"FJ01";22;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";39,7;;;262290;4
FALSE;"F06";"F06g";"FJ01";22;1;0;0;1;3;"Dologi kiadások";138,8;;;262290;4
FALSE;"F06";"F06g";"FJ01";22;1;0;0;1;5;"Egyéb működési célú kiadások";0,3;;;262290;4
FALSE;"F06";"F06g";"FJ01";22;1;0;0;2;0;"Felhalmozási költségvetés";;;;262290;3
FALSE;"F06";"F06g";"FJ01";22;1;0;0;2;6;"Beruházások";7,4;;;262290;4
FALSE;"F16";"F16";"FJ01";23;0;0;0;0;0;"Magyar Energetikai és Közmű-szabályozási Hivatal";;;;341095;1
FALSE;"F09";"F09";"FJ01";23;1;0;0;0;0;"Magyar Energetikai és Közmű-szabályozási Hivatal";;7750;;15020;2
FALSE;"F09";"F09";"FJ01";23;1;0;0;1;0;"Működési költségvetés";;;;15020;3
FALSE;"F09";"F09";"FJ01";23;1;0;0;1;1;"Személyi juttatások";3497,4;;;15020;4
FALSE;"F09";"F09";"FJ01";23;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";1006,3;;;15020;4
FALSE;"F09";"F09";"FJ01";23;1;0;0;1;3;"Dologi kiadások";982,4;;;15020;4
FALSE;"F09";"F09";"FJ01";23;1;0;0;1;5;"Egyéb működési célú kiadások";2046,1;;;15020;4
FALSE;"F09";"F09";"FJ01";23;1;0;0;2;0;"Felhalmozási költségvetés";;;;15020;3
FALSE;"F09";"F09";"FJ01";23;1;0;0;2;6;"Beruházások";217,8;;;15020;4
FALSE;"F16";"F16";"FJ01";24;0;0;0;0;0;"Nemzeti Választási Iroda";;;;341662;1
FALSE;"F01";"F01a";"FJ01";24;1;0;0;0;0;"Nemzeti Választási Iroda";;;1262,4;341673;2
FALSE;"F01";"F01a";"FJ01";24;1;0;0;1;0;"Működési költségvetés";;;;341673;3
FALSE;"F01";"F01a";"FJ01";24;1;0;0;1;1;"Személyi juttatások";659,6;;;341673;4
FALSE;"F01";"F01a";"FJ01";24;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";176,3;;;341673;4
FALSE;"F01";"F01a";"FJ01";24;1;0;0;1;3;"Dologi kiadások";376,5;;;341673;4
FALSE;"F01";"F01a";"FJ01";24;1;0;0;2;0;"Felhalmozási költségvetés";;;;341673;3
FALSE;"F01";"F01a";"FJ01";24;1;0;0;2;6;"Beruházások";50;;;341673;4
FALSE;"F16";"F16";"FJ01";24;2;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;341684;2
FALSE;"F08";"F08f";"FJ01";24;2;1;0;0;0;"Időközi és nemzetiségi választások lebonyolítása";458;;458;275090;3
FALSE;"F01";"F01a";"FJ01";24;2;2;0;0;0;"A választási rendszerek működtetése";1500;;1500;341695;3
FALSE;"F16";"F16";"FJ01";25;0;0;0;0;0;"Nemzeti Emlékezet Bizottságának Hivatala";;;;346517;1
FALSE;"F01";"F01a";"FJ01";25;1;0;0;0;0;"Nemzeti Emlékezet Bizottságának Hivatala";;;808;346528;2
FALSE;"F01";"F01a";"FJ01";25;1;0;0;1;0;"Működési költségvetés";;;;346528;3
FALSE;"F01";"F01a";"FJ01";25;1;0;0;1;1;"Személyi juttatások";359,7;;;346528;4
FALSE;"F01";"F01a";"FJ01";25;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";96,3;;;346528;4
FALSE;"F01";"F01a";"FJ01";25;1;0;0;1;3;"Dologi kiadások";331;;;346528;4
FALSE;"F01";"F01a";"FJ01";25;1;0;0;2;0;"Felhalmozási költségvetés";;;;346528;3
FALSE;"F01";"F01a";"FJ01";25;1;0;0;2;6;"Beruházások";21;;;346528;4
FALSE;"F16";"F16";"FJ02";0;0;0;0;0;0;"II. KÖZTÁRSASÁGI ELNÖKSÉG";;;;11;0
FALSE;"F01";"F01a";"FJ02";1;0;0;0;0;0;"Köztársasági Elnöki Hivatal";;;1422,4;33;1
FALSE;"F01";"F01a";"FJ02";1;0;0;0;1;0;"Működési költségvetés";;;;33;2
FALSE;"F01";"F01a";"FJ02";1;0;0;0;1;1;"Személyi juttatások";748,6;;;33;3
FALSE;"F01";"F01a";"FJ02";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";205,7;;;33;3
FALSE;"F01";"F01a";"FJ02";1;0;0;0;1;3;"Dologi kiadások";411,5;;;33;3
FALSE;"F01";"F01a";"FJ02";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;33;2
FALSE;"F01";"F01a";"FJ02";1;0;0;0;2;6;"Beruházások";51,6;;;33;3
FALSE;"F01";"F01a";"FJ02";1;0;0;0;2;7;"Felújítások";3;;;33;3
FALSE;"F01";"F01a";"FJ02";1;0;0;0;2;8;"Egyéb felhalmozási célú kiadások";2;;;33;3
FALSE;"F16";"F16";"FJ02";2;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;55;1
FALSE;"F16";"F16";"FJ02";2;2;0;0;0;0;"Célelőirányzatok";;;;66;2
FALSE;"F01";"F01a";"FJ02";2;2;1;0;0;0;"Állami kitüntetések";436,7;;436,7;17530;3
FALSE;"F08";"F08f";"FJ02";2;2;2;0;0;0;"Köztársasági elnök közcélú felajánlásai, adományai";73;;73;338240;3
FALSE;"F01";"F01c";"FJ02";2;2;3;0;0;0;"Államfői Protokoll kiadásai";;;;344028;3
FALSE;"F01";"F01c";"FJ02";2;2;3;1;0;0;"Államfői Protokoll kiadásai";355;;355;249590;4
FALSE;"F01";"F01a";"FJ02";2;4;0;0;0;0;"Fejezeti tartalék";26,3;;26,3;335306;2
FALSE;"F16";"F16";"FJ03";0;0;0;0;0;0;"III. ALKOTMÁNYBÍRÓSÁG";;;;374;0
FALSE;"F01";"F01a";"FJ03";1;0;0;0;0;0;"Alkotmánybíróság";;;1761,6;385;1
FALSE;"F01";"F01a";"FJ03";1;0;0;0;1;0;"Működési költségvetés";;;;385;2
FALSE;"F01";"F01a";"FJ03";1;0;0;0;1;1;"Személyi juttatások";1079,3;;;385;3
FALSE;"F01";"F01a";"FJ03";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";307,6;;;385;3
FALSE;"F01";"F01a";"FJ03";1;0;0;0;1;3;"Dologi kiadások";289,6;;;385;3
FALSE;"F01";"F01a";"FJ03";1;0;0;0;1;4;"Ellátottak pénzbeli juttatásai";37,1;;;385;3
FALSE;"F01";"F01a";"FJ03";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;385;2
FALSE;"F01";"F01a";"FJ03";1;0;0;0;2;6;"Beruházások";48;;;385;3
FALSE;"F16";"F16";"FJ03";2;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;272789;1
FALSE;"F01";"F01a";"FJ03";2;2;0;0;0;0;"Fejezeti tartalék";35,5;;35,5;335317;2
FALSE;"F16";"F16";"FJ04";0;0;0;0;0;0;"IV. ALAPVETŐ JOGOK BIZTOSÁNAK HIVATALA";;;;7207;0
FALSE;"F01";"F01a";"FJ04";1;0;0;0;0;0;"Alapvető Jogok Biztosának Hivatala";;;1284,4;303191;1
FALSE;"F01";"F01a";"FJ04";1;0;0;0;1;0;"Működési költségvetés";;;;303191;2
FALSE;"F01";"F01a";"FJ04";1;0;0;0;1;1;"Személyi juttatások";825,6;;;303191;3
FALSE;"F01";"F01a";"FJ04";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";225,9;;;303191;3
FALSE;"F01";"F01a";"FJ04";1;0;0;0;1;3;"Dologi kiadások";208,4;;;303191;3
FALSE;"F01";"F01a";"FJ04";1;0;0;0;1;5;"Egyéb működési célú kiadások";1,5;;;303191;3
FALSE;"F01";"F01a";"FJ04";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;303191;2
FALSE;"F01";"F01a";"FJ04";1;0;0;0;2;6;"Beruházások";23;;;303191;3
FALSE;"F16";"F16";"FJ04";2;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;272790;1
FALSE;"F16";"F16";"FJ04";2;2;0;0;0;0;"Fejezeti tartalék";22,8;;22,8;25584;2
FALSE;"F16";"F16";"FJ05";0;0;0;0;0;0;"V. ÁLLAMI SZÁMVEVŐSZÉK";;;;451;0
FALSE;"F01";"F01a";"FJ05";1;0;0;0;0;0;"Állami Számvevőszék";;20;8547,8;462;1
FALSE;"F01";"F01a";"FJ05";1;0;0;0;1;0;"Működési költségvetés";;;;462;2
FALSE;"F01";"F01a";"FJ05";1;0;0;0;1;1;"Személyi juttatások";5672;;;462;3
FALSE;"F01";"F01a";"FJ05";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";1532;;;462;3
FALSE;"F01";"F01a";"FJ05";1;0;0;0;1;3;"Dologi kiadások";963,9;;;462;3
FALSE;"F01";"F01a";"FJ05";1;0;0;0;1;5;"Egyéb működési célú kiadások";2;;;462;3
FALSE;"F01";"F01a";"FJ05";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;462;2
FALSE;"F01";"F01a";"FJ05";1;0;0;0;2;6;"Beruházások";361,9;;;462;3
FALSE;"F01";"F01a";"FJ05";1;0;0;0;2;7;"Felújítások";36;;;462;3
FALSE;"F16";"F16";"FJ06";0;0;0;0;0;0;"VI. BÍRÓSÁGOK";;;;31127;0
FALSE;"F03";"F03a";"FJ06";1;0;0;0;0;0;"Bíróságok";;2066;78164;209126;1
FALSE;"F03";"F03a";"FJ06";1;0;0;0;1;0;"Működési költségvetés";;;;209126;2
FALSE;"F03";"F03a";"FJ06";1;0;0;0;1;1;"Személyi juttatások";51429,2;;;209126;3
FALSE;"F03";"F03a";"FJ06";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";13041,2;;;209126;3
FALSE;"F03";"F03a";"FJ06";1;0;0;0;1;3;"Dologi kiadások";15180,6;;;209126;3
FALSE;"F03";"F03a";"FJ06";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;209126;2
FALSE;"F03";"F03a";"FJ06";1;0;0;0;2;6;"Beruházások";313;;;209126;3
FALSE;"F03";"F03a";"FJ06";1;0;0;0;2;7;"Felújítások";266;;;209126;3
FALSE;"F03";"F03a";"FJ06";2;0;0;0;0;0;"Kúria";;192;2715;333639;1
FALSE;"F03";"F03a";"FJ06";2;0;0;0;1;0;"Működési költségvetés";;;;333639;2
FALSE;"F03";"F03a";"FJ06";2;0;0;0;1;1;"Személyi juttatások";2088,8;;;333639;3
FALSE;"F03";"F03a";"FJ06";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";524,5;;;333639;3
FALSE;"F03";"F03a";"FJ06";2;0;0;0;1;3;"Dologi kiadások";289,7;;;333639;3
FALSE;"F03";"F03a";"FJ06";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;333639;2
FALSE;"F03";"F03a";"FJ06";2;0;0;0;2;6;"Beruházások";4;;;333639;3
FALSE;"F16";"F16";"FJ06";3;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;31138;1
FALSE;"F16";"F16";"FJ06";3;1;0;0;0;0;"Beruházás";;;;226989;2
FALSE;"F03";"F03a";"FJ06";3;1;1;0;0;0;"Budapest Környéki Törvényszék épület rekonstrukciója";1005,1;;1005,1;331228;3
FALSE;"F03";"F03a";"FJ06";3;1;2;0;0;0;"Igazságszolgáltatás beruházásai";7083;;7083;227250;3
FALSE;"F03";"F03a";"FJ06";3;3;0;0;0;0;"Igazságszolgáltatás működtetése";1561,9;;1561,9;347951;2
FALSE;"F16";"F16";"FJ08";0;0;0;0;0;0;"VIII. ÜGYÉSZSÉG";;;;417;0
FALSE;"F03";"F03a";"FJ08";1;0;0;0;0;0;"Ügyészségek";;102;39453,8;26338;1
FALSE;"F03";"F03a";"FJ08";1;0;0;0;1;0;"Működési költségvetés";;;;26338;2
FALSE;"F03";"F03a";"FJ08";1;0;0;0;1;1;"Személyi juttatások";26074,6;;;26338;3
FALSE;"F03";"F03a";"FJ08";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";7169,3;;;26338;3
FALSE;"F03";"F03a";"FJ08";1;0;0;0;1;3;"Dologi kiadások";3368,6;;;26338;3
FALSE;"F03";"F03a";"FJ08";1;0;0;0;1;5;"Egyéb működési célú kiadások";6,8;;;26338;3
FALSE;"F03";"F03a";"FJ08";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;26338;2
FALSE;"F03";"F03a";"FJ08";1;0;0;0;2;6;"Beruházások";2836,5;;;26338;3
FALSE;"F03";"F03a";"FJ08";1;0;0;0;2;7;"Felújítások";30;;;26338;3
FALSE;"F03";"F03a";"FJ08";1;0;0;0;2;8;"Egyéb felhalmozási célú kiadások";70;;;26338;3
FALSE;"F16";"F16";"FJ08";3;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;227007;1
FALSE;"F03";"F03a";"FJ08";3;4;0;0;0;0;"Jogerősen megállapított kártérítések célelőirányzata";30;;30;272190;2
FALSE;"F01";"F01a";"FJ08";3;6;0;0;0;0;"Fejezeti tartalék";296,1;;296,1;956;2
FALSE;"F16";"F16";"FJ09";0;0;0;0;0;0;"IX. HELYI ÖNKORMÁNYZATOK TÁMOGATÁSAI";;;;257589;0
FALSE;"F01";"F01a";"FJ09";1;0;0;0;0;0;"A helyi önkormányzatok általános működésének és ágazati feladatainak támogatása";;;;334373;1
FALSE;"F16";"F16";"FJ09";1;1;0;0;0;0;"A helyi önkormányzatok működésének általános támogatása";154094,9;;;334384;2
FALSE;"F04";"F04a";"FJ09";1;2;0;0;0;0;"A települési önkormányzatok egyes köznevelési feladatainak támogatása";179795,1;;;334395;2
FALSE;"F06";"F06g";"FJ09";1;3;0;0;0;0;"A települési önkormányzatok szociális, gyermekjóléti és gyermekétkeztetési feladatainak támogatása";187719,7;;;334406;2
FALSE;"F08";"F08b";"FJ09";1;4;0;0;0;0;"A települési önkormányzatok kulturális feladatainak támogatása";31015,3;;;334417;2
FALSE;"F01";"F01a";"FJ09";2;0;0;0;0;0;"A helyi önkormányzatok kiegészítő támogatásai";107374,7;;;18450;1
FALSE;"F06";"F06g";"FJ09";3;0;0;0;0;0;"Támogató szolgáltatások, közösségi ellátások, utcai szociális munka és a Biztos Kezdet Gyerekház működésének támogatása";2042;;;353773;1
FALSE;"F16";"F16";"FJ10";0;0;0;0;0;0;"X. IGAZSÁGÜGYI MINISZTÉRIUM";;;;484;0
FALSE;"F01";"F01a";"FJ10";1;0;0;0;0;0;"Igazságügyi Minisztérium igazgatása";;664,2;4647,5;505;1
FALSE;"F01";"F01a";"FJ10";1;0;0;0;1;0;"Működési költségvetés";;;;505;2
FALSE;"F01";"F01a";"FJ10";1;0;0;0;1;1;"Személyi juttatások";3149,2;;;505;3
FALSE;"F01";"F01a";"FJ10";1;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";794,7;;;505;3
FALSE;"F01";"F01a";"FJ10";1;0;0;0;1;3;"Dologi kiadások";1326,3;;;505;3
FALSE;"F01";"F01a";"FJ10";1;0;0;0;1;4;"Ellátottak pénzbeli juttatásai";6;;;505;3
FALSE;"F01";"F01a";"FJ10";1;0;0;0;1;5;"Egyéb működési célú kiadások";4;;;505;3
FALSE;"F01";"F01a";"FJ10";1;0;0;0;2;0;"Felhalmozási költségvetés";;;;505;2
FALSE;"F01";"F01a";"FJ10";1;0;0;0;2;6;"Beruházások";31,5;;;505;3
FALSE;"F13";"F13b";"FJ10";2;0;0;0;0;0;"Szellemi Tulajdon Nemzeti Hivatala";;4110,1;;989;1
FALSE;"F13";"F13b";"FJ10";2;0;0;0;1;0;"Működési költségvetés";;;;989;2
FALSE;"F13";"F13b";"FJ10";2;0;0;0;1;1;"Személyi juttatások";1387,6;;;989;3
FALSE;"F13";"F13b";"FJ10";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";376,4;;;989;3
FALSE;"F13";"F13b";"FJ10";2;0;0;0;1;3;"Dologi kiadások";1864,7;;;989;3
FALSE;"F13";"F13b";"FJ10";2;0;0;0;1;5;"Egyéb működési célú kiadások";258,2;;;989;3
FALSE;"F13";"F13b";"FJ10";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;989;2
FALSE;"F13";"F13b";"FJ10";2;0;0;0;2;6;"Beruházások";204,2;;;989;3
FALSE;"F13";"F13b";"FJ10";2;0;0;0;2;7;"Felújítások";19;;;989;3
FALSE;"F03";"F03a";"FJ10";3;0;0;0;0;0;"Igazságügyi Hivatal";;596,1;1102,1;348028;1
FALSE;"F03";"F03a";"FJ10";3;0;0;0;1;0;"Működési költségvetés";;;;348028;2
FALSE;"F03";"F03a";"FJ10";3;0;0;0;1;1;"Személyi juttatások";834,1;;;348028;3
FALSE;"F03";"F03a";"FJ10";3;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";229,8;;;348028;3
FALSE;"F03";"F03a";"FJ10";3;0;0;0;1;3;"Dologi kiadások";611,9;;;348028;3
FALSE;"F03";"F03a";"FJ10";3;0;0;0;2;0;"Felhalmozási költségvetés";;;;348028;2
FALSE;"F03";"F03a";"FJ10";3;0;0;0;2;6;"Beruházások";22,4;;;348028;3
FALSE;"F01";"F01d";"FJ10";9;0;0;0;0;0;"Igazságügyi Szakértői és Kutató Intézetek";;1500;1223;4855;1
FALSE;"F01";"F01d";"FJ10";9;0;0;0;1;0;"Működési költségvetés";;;;4855;2
FALSE;"F01";"F01d";"FJ10";9;0;0;0;1;1;"Személyi juttatások";1293;;;4855;3
FALSE;"F01";"F01d";"FJ10";9;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";357,8;;;4855;3
FALSE;"F01";"F01d";"FJ10";9;0;0;0;1;3;"Dologi kiadások";897,9;;;4855;3
FALSE;"F01";"F01d";"FJ10";9;0;0;0;2;0;"Felhalmozási költségvetés";;;;4855;2
FALSE;"F01";"F01d";"FJ10";9;0;0;0;2;6;"Beruházások";174,3;;;4855;3
FALSE;"F16";"F16";"FJ10";20;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1030;1
FALSE;"F16";"F16";"FJ10";20;2;0;0;0;0;"Célelőirányzatok";;;;1052;2
